datetime,time (s),sigma_w (S/m)
2024-10-10 22:52:00,-581880.0,
2024-10-10 22:53:00,-581820.0,
2024-10-10 22:54:00,-581760.0,
2024-10-10 22:55:00,-581700.0,
2024-10-10 22:56:00,-581640.0,
2024-10-10 22:57:00,-581580.0,
2024-10-10 22:58:00,-581520.0,
2024-10-10 22:59:00,-581460.0,
2024-10-10 23:00:00,-581400.0,
2024-10-10 23:01:00,-581340.0,
2024-10-10 23:02:00,-581280.0,
2024-10-10 23:03:00,-581220.0,
2024-10-10 23:04:00,-581160.0,
2024-10-10 23:05:00,-581100.0,
2024-10-10 23:06:00,-581040.0,
2024-10-10 23:07:00,-580980.0,
2024-10-10 23:08:00,-580920.0,
2024-10-10 23:09:00,-580860.0,
2024-10-10 23:10:00,-580800.0,
2024-10-10 23:11:00,-580740.0,
2024-10-10 23:12:00,-580680.0,
2024-10-10 23:13:00,-580620.0,
2024-10-10 23:14:00,-580560.0,
2024-10-10 23:15:00,-580500.0,
2024-10-10 23:16:00,-580440.0,
2024-10-10 23:17:00,-580380.0,
2024-10-10 23:18:00,-580320.0,
2024-10-10 23:19:00,-580260.0,
2024-10-10 23:20:00,-580200.0,
2024-10-10 23:21:00,-580140.0,
2024-10-10 23:22:00,-580080.0,
2024-10-10 23:23:00,-580020.0,
2024-10-10 23:24:00,-579960.0,
2024-10-10 23:25:00,-579900.0,
2024-10-10 23:26:00,-579840.0,
2024-10-10 23:27:00,-579780.0,
2024-10-10 23:28:00,-579720.0,
2024-10-10 23:29:00,-579660.0,
2024-10-10 23:30:00,-579600.0,
2024-10-10 23:31:00,-579540.0,
2024-10-10 23:32:00,-579480.0,
2024-10-10 23:33:00,-579420.0,
2024-10-10 23:34:00,-579360.0,
2024-10-10 23:35:00,-579300.0,
2024-10-10 23:36:00,-579240.0,
2024-10-10 23:37:00,-579180.0,
2024-10-10 23:38:00,-579120.0,
2024-10-10 23:39:00,-579060.0,
2024-10-10 23:40:00,-579000.0,
2024-10-10 23:41:00,-578940.0,
2024-10-10 23:42:00,-578880.0,
2024-10-10 23:43:00,-578820.0,
2024-10-10 23:44:00,-578760.0,
2024-10-10 23:45:00,-578700.0,
2024-10-10 23:46:00,-578640.0,
2024-10-10 23:47:00,-578580.0,
2024-10-10 23:48:00,-578520.0,
2024-10-10 23:49:00,-578460.0,
2024-10-10 23:50:00,-578400.0,
2024-10-10 23:51:00,-578340.0,
2024-10-10 23:52:00,-578280.0,
2024-10-10 23:53:00,-578220.0,
2024-10-10 23:54:00,-578160.0,
2024-10-10 23:55:00,-578100.0,
2024-10-10 23:56:00,-578040.0,
2024-10-10 23:57:00,-577980.0,
2024-10-10 23:58:00,-577920.0,
2024-10-10 23:59:00,-577860.0,
2024-10-11 00:00:00,-577800.0,
2024-10-11 00:01:00,-577740.0,
2024-10-11 00:02:00,-577680.0,
2024-10-11 00:03:00,-577620.0,
2024-10-11 00:04:00,-577560.0,
2024-10-11 00:05:00,-577500.0,
2024-10-11 00:06:00,-577440.0,
2024-10-11 00:07:00,-577380.0,
2024-10-11 00:08:00,-577320.0,
2024-10-11 00:09:00,-577260.0,
2024-10-11 00:10:00,-577200.0,
2024-10-11 00:11:00,-577140.0,
2024-10-11 00:12:00,-577080.0,
2024-10-11 00:13:00,-577020.0,
2024-10-11 00:14:00,-576960.0,
2024-10-11 00:15:00,-576900.0,
2024-10-11 00:16:00,-576840.0,
2024-10-11 00:17:00,-576780.0,
2024-10-11 00:18:00,-576720.0,
2024-10-11 00:19:00,-576660.0,
2024-10-11 00:20:00,-576600.0,
2024-10-11 00:21:00,-576540.0,
