time (s),datetime,spacing (m),avg Rho-a (Ohm-m),std Rho-a (Ohm-m),avg dRho-a (Ohm-m),std dRho-a (Ohm-m),rel avg (%),rel std (%),residual,rel residual (%)
579720,2024-10-24 09:32:00,1.0,14.55589,0.6765488074780709,-1.4357000000000004,0.20215587055537113,-8.980149815809193,1.2174020803154777,0.6086119999999999,1.046444745845222
579720,2024-10-24 09:32:00,1.25,14.295300000000001,0.6803781677207985,-0.964488888888889,0.1555209913980493,-6.31926311805511,0.9546249347155903,0.5958888888888888,0.8479467685337736
579720,2024-10-24 09:32:00,1.5,13.937999999999999,0.552247476730818,-0.6874666666666663,0.1591413906632154,-4.701888867974034,1.0907586849436077,0.4190444444444442,0.9441145644819509
579720,2024-10-24 09:32:00,1.75,13.788977777777777,0.48978494550109053,-0.5722555555555557,0.3443651134450535,-3.9487022534372334,2.2510666795381145,0.4150641975308644,1.8958589335461855
579720,2024-10-24 09:32:00,2.0,13.705862499999999,0.40183110860627763,-0.3792499999999994,0.12356636880640337,-2.70672539999087,0.9098367983805924,0.33670312499999966,0.8197295729474138
594120,2024-10-24 13:32:00,0.25,11.696163636363638,0.5269206948656373,-3.7752363636363637,0.2512503578386494,-24.38954114832537,0.8198893913319245,0.4802694214876036,0.6653358159260042
594120,2024-10-24 13:32:00,0.5,14.331700000000001,0.7452414910617902,-3.21309,0.20065637517906135,-18.322227043777467,0.9285728433831963,0.6463200000000004,0.7627749717125332
594120,2024-10-24 13:32:00,0.75,14.83338,0.6226807686126173,-2.28183,0.37457325598606167,-13.324998282049066,2.094426283208503,0.54876,1.526089796335876
594120,2024-10-24 13:32:00,1.0,14.537099999999999,0.6780893451456081,-1.4544900000000003,0.19043822856769071,-9.09914591057054,1.1500717680649144,0.6050600000000002,0.942566324813703
594120,2024-10-24 13:32:00,1.25,14.283677777777777,0.667587723370541,-0.9761111111111112,0.17119054649681026,-6.390927290953775,1.028177365450379,0.5796246913580249,0.9018160586880171
594120,2024-10-24 13:32:00,1.5,13.909488888888887,0.5391672023581977,-0.7159777777777777,0.19810979434970846,-4.890778984184026,1.3378160091848512,0.42325432098765425,1.0486916882494963
594120,2024-10-24 13:32:00,1.75,13.780977777777778,0.4948233304878236,-0.5802555555555556,0.34012755813439954,-4.006433939396595,2.2273459226609105,0.42053086419753094,1.9049626562032136
594120,2024-10-24 13:32:00,2.0,13.695075000000001,0.3971669666210928,-0.39003750000000004,0.12398125803422905,-2.7824334364146983,0.9143744305984615,0.3254937500000006,0.8117993925775144
608520,2024-10-24 17:32:00,0.25,11.6476,0.5192191427343739,-3.8238000000000003,0.25987148222290024,-24.701474880926682,0.8541573435579181,0.4728000000000001,0.795066316031952
608520,2024-10-24 17:32:00,0.5,14.32901,0.7361714684093646,-3.21578,0.22277518623042436,-18.333903298317896,1.026149944009425,0.6302120000000002,0.7952934099129736
608520,2024-10-24 17:32:00,0.75,14.821549999999998,0.6439415800365744,-2.293659999999999,0.381541154267793,-13.39789951474887,2.153047750603886,0.5665699999999999,1.566367772870849
608520,2024-10-24 17:32:00,1.0,14.537880000000001,0.6794097479430216,-1.4537100000000003,0.20890719207341776,-9.092998462853599,1.2707359413629942,0.6163439999999998,1.0347862286515226
608520,2024-10-24 17:32:00,1.25,14.293666666666667,0.6797054983185326,-0.9661222222222227,0.1334813243514512,-6.3310713382559,0.8158515811474537,0.5914518518518519,0.7099985951853887
608520,2024-10-24 17:32:00,1.5,13.918444444444443,0.5605134553070489,-0.7070222222222221,0.17662124433549073,-4.836464940089151,1.2193179308239113,0.4349827160493825,0.9982711298308908
608520,2024-10-24 17:32:00,1.75,13.796600000000002,0.4945076181864585,-0.5646333333333335,0.30744681924955175,-3.902167625735358,2.020823026969664,0.42915555555555546,1.7238829560298972
